Province,Year,T2M_mean,T2M_std,T2M_max,T2M_min,T2M_MAX_max,T2M_MIN_min,RH2M_mean,RH2M_std,CLOUD_AMT_mean,PRECTOTCORR_sum,PRECTOTCORR_max,PRECTOTCORR_std,GWETPROF_mean,CLRSKY_SFC_SW_DWN_mean,hot_day_sum,cold_day_sum,rainy_day_sum,heavy_rain_sum,dry_day_sum,GDD_sum,rain_intensity,dry_ratio,hot_ratio,PRECTOTCORR_sum_lag1,T2M_mean_lag1,GDD_sum_lag1,Commodity,Yield,Elevation,Landcover,Lat,Lon,Ndvi_mean,Soil_clay,Soil_ph,Soil_sand,Soil_soc
Lạng Sơn,2012,21.518415300546447,6.104209793894278,31.11,4.79,39.69,0.76,80.96879781420766,8.017922299626292,81.41942622950819,1334.1,75.86,8.327755366562936,0.6370218579234973,21.015054644808743,10,70,154,20,44,4251.96,8.607096774193549,0.1205479452054794,0.0273972602739726,1159.47,20.515150684931506,3917.41,Khoai lang,5.260869565217392,265.0,50,21.853,106.762,0.2780122093023255,35,6.4,35,0.2
Thái Nguyên,2016,23.061994535519126,5.709593331484216,30.9,4.22,36.46,1.77,82.5322131147541,6.405285169483314,80.29699453551913,1489.52,77.94,8.958863732482982,0.7539617486338798,21.48560109289617,7,40,150,20,55,4799.44,9.864370860927153,0.1506849315068493,0.0191780821917808,1613.04,23.58652054794521,4959.08,Sắn,14.5,31.0,50,21.5939,105.8482,0.3295308139534884,32,6.1,41,0.2
Nghệ An,2011,23.546876712328768,5.39570073040759,32.62,10.38,38.79,7.58,81.73591780821918,8.293638601781621,80.53936986301369,1690.8,176.72,13.24438781420017,0.7307397260273972,22.39210958904109,39,5,162,23,43,4944.61,10.373006134969325,0.1178082191780822,0.1068493150684931,1983.04,25.83427397260274,5779.51,Sắn,21.83809523809524,9.0,50,18.6667,105.6667,0.3236889855072464,31,5.3,39,0.2
Hà Nam,2009,22.98038356164384,5.121260508227993,29.89,9.47,36.91,4.07,83.74109589041096,6.185650614203777,73.74876712328766,1401.22,72.67,8.705941384862307,0.7786849315068493,21.55005479452055,3,32,142,18,107,4738.4,9.79874125874126,0.2931506849315068,0.0082191780821917,1686.48,22.18363387978142,4469.17,Lúa đông xuân,6.30835734870317,6.0,50,20.5451,105.9135,0.2984313953488372,25,5.4,42,0.4
Ninh Thuận,2017,24.55460273972603,1.5338757806393664,27.03,18.34,31.44,15.56,87.48561643835616,3.314870916511776,78.51909589041097,1842.16,81.52,8.081824072770852,0.8309315068493152,24.70295890410959,0,0,234,15,30,5312.43,7.838978723404256,0.0821917808219178,0.0,2381.44,25.186830601092893,5558.38,Lúa thu đông,6.934454149317793,11.0,50,11.5647,108.9882,0.3639214492753623,33,6.7,39,0.4
Phú Yên,2023,27.18093150684932,2.009308204228892,31.26,21.24,34.88,20.31,82.72235616438356,4.5018984925955134,65.78158904109588,2304.37,121.72,10.45692193093922,0.8161369863013698,23.46783561643836,0,0,261,24,8,6271.04,8.79530534351145,0.021917808219178,0.0,2592.2,26.67517808219178,6086.44,Lúa đông xuân,7.415730337078652,49.0,50,13.0833,109.3,0.4346776811594203,32,5.9,40,0.2
Đắk Nông,2022,23.55641095890411,1.8031297564404252,28.66,18.24,36.25,14.18,84.4525205479452,9.339881561638157,77.42621917808219,2389.79,77.96,11.316793229419757,0.8354246575342466,24.207561643835614,9,0,200,42,74,4948.09,11.889502487562188,0.2027397260273972,0.0246575342465753,2287.36,23.57917808219178,4956.4,Khoai lang,14.876358243288236,601.0,10,12.0,107.6833,0.4546028985507246,37,6.0,35,0.4
Thái Bình,2015,24.549260273972603,4.965443413981874,32.28,12.32,37.8,8.5,83.74868493150684,5.322186242298542,76.64739726027398,1559.91,62.8,8.30350831662697,0.7174794520547945,21.525890410958905,12,4,191,18,34,5310.48,8.12453125,0.0931506849315068,0.0328767123287671,1489.05,23.78857534246575,5032.83,Lúa đông xuân,7.158551810237204,6.0,50,20.4463,106.3364,0.2566389534883721,27,5.6,42,0.2
Đà Nẵng,2010,25.487013698630136,2.7114369314679467,29.69,17.1,35.76,15.55,84.51769863013699,4.279423701460154,70.82835616438356,2175.72,135.76,15.943284224607757,0.7734246575342466,22.842986301369866,5,0,154,26,69,5652.76,14.03690322580645,0.1890410958904109,0.0136986301369863,2590.23,25.237095890410963,5561.54,Lúa,5.63013698630137,9.0,50,16.0544,108.2022,0.2572008695652174,32,7.2,40,0.2
Điện Biên,2015,21.44394520547945,4.729214185271814,29.02,6.77,36.47,3.63,76.97728767123287,11.571877502883591,68.10421917808219,1284.34,44.64,5.815472971295936,0.6650410958904109,22.561780821917807,12,48,185,8,70,4187.17,6.90505376344086,0.1917808219178082,0.0328767123287671,1289.75,20.911424657534248,3994.45,Lúa mùa,2.9852216748768474,498.0,10,21.3833,103.0167,0.4917087209302325,35,5.9,38,0.4
Hải Phòng,2013,22.859287671232877,5.24190538055259,30.14,9.45,34.58,5.04,83.31657534246575,6.939654846845513,76.6861095890411,1859.29,83.22,10.317094972825826,0.7252602739726028,21.313561643835616,0,29,160,26,63,4694.43,11.5483850931677,0.1726027397260274,0.0,1830.61,23.12584699453552,4806.18,Lúa,6.268542199488491,9.0,50,20.8449,106.6881,0.2207930232558139,28,5.9,39,0.2
Phú Yên,2022,26.67517808219178,1.692143053587375,29.32,22.62,31.79,21.6,83.43950684931507,3.7360718305684673,73.21027397260274,2592.2,129.3,13.17113500844967,0.8528493150684932,23.64898630136986,0,0,252,34,0,6086.44,10.24584980237154,0.0,0.0,2802.15,26.671616438356164,6085.14,Lúa thu đông,8.929066250114385,49.0,50,13.0833,109.3,0.4346776811594203,32,5.9,40,0.2
Đà Nẵng,2022,25.23306849315069,2.7805371265870145,29.4,17.22,33.78,16.5,85.16591780821918,4.562295552406873,77.58671232876712,3262.14,369.44,26.730787877200747,0.8934794520547945,23.232246575342465,0,0,228,36,8,5560.07,14.245152838427948,0.021917808219178,0.0,3420.26,25.25309589041096,5567.38,Mía,45.928338762214985,9.0,50,16.0544,108.2022,0.2572008695652174,32,7.2,40,0.2
Đắk Lắk,2011,23.90167123287672,2.2024738092940432,28.74,17.0,36.69,13.28,74.2541095890411,7.061230521054637,78.18745205479452,555.39,29.82,3.26345925912869,0.5213698630136987,24.42,8,0,113,2,74,5074.11,4.871842105263158,0.2027397260273972,0.021917808219178,761.22,25.2818904109589,5577.89,Lúa đông xuân,6.009615384615385,454.0,50,12.6667,108.0333,0.3828982608695652,38,6.5,35,0.4
Bình Dương,2020,28.03158469945355,2.241199825970376,33.7,21.82,42.1,17.55,75.81174863387977,15.435803752375415,71.38043715846995,1999.48,143.31,12.369039892827152,0.7053278688524589,24.023907103825135,134,0,182,25,90,6599.56,10.926120218579236,0.2465753424657534,0.3671232876712328,1389.34,27.69219178082192,6457.65,Lúa mùa,4.0,58.0,10,11.197,106.7081,0.6092527536231884,26,5.3,52,0.4
Tiền Giang,2013,27.82038356164384,1.692256399192558,34.09,23.28,40.91,18.9,76.2772602739726,10.3461833038467,76.5872602739726,1053.24,36.46,4.729363500130127,0.6683835616438356,23.95438356164384,78,0,169,4,99,6504.44,6.1955294117647055,0.2712328767123287,0.2136986301369863,1460.65,27.34587431693989,6348.59,Lúa đông xuân,6.904161412358134,2.0,10,10.3814,106.2353,0.7042736231884058,27,5.9,48,0.8
