Province,Year,T2M_mean,T2M_std,T2M_max,T2M_min,T2M_MAX_max,T2M_MIN_min,RH2M_mean,RH2M_std,CLOUD_AMT_mean,PRECTOTCORR_sum,PRECTOTCORR_max,PRECTOTCORR_std,GWETPROF_mean,CLRSKY_SFC_SW_DWN_mean,hot_day_sum,cold_day_sum,rainy_day_sum,heavy_rain_sum,dry_day_sum,low_moisture_sum,GDD_sum,rain_intensity,dry_ratio,hot_ratio,PRECTOTCORR_sum_lag1,T2M_mean_lag1,GDD_sum_lag1,Commodity,Value,Elevation,Landcover,Ndvi_mean,Soil_clay,Soil_ph,Soil_sand,Soil_soc,Price,Revenue,Label
Bình Dương,2016,28.2701912568306,2.1348558621981306,33.66,24.51,41.83,17.05,74.71131147540984,14.824239699184623,70.30292349726776,1211.6,40.16,6.440987703218229,0.6046448087431694,23.75606557377049,135,0,160,13,103,0,6686.89,7.525465838509316,0.2821917808219178,0.3698630136986301,981.09,28.38868493150685,6711.87,Sắn,89000.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,4183000.0,372287000000.0,Sắn
Bình Dương,2016,28.2701912568306,2.1348558621981306,33.66,24.51,41.83,17.05,74.71131147540984,14.824239699184623,70.30292349726776,1211.6,40.16,6.440987703218229,0.6046448087431694,23.75606557377049,135,0,160,13,103,0,6686.89,7.525465838509316,0.2821917808219178,0.3698630136986301,981.09,28.38868493150685,6711.87,Lúa thu đông,6100.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6342000.0,38686200000.0,Sắn
Bình Dương,2017,27.5573698630137,1.7747947374494475,32.37,19.89,40.72,16.27,78.1433698630137,10.633085075753408,80.0222191780822,1202.31,44.79,5.722376878785348,0.6155890410958904,24.02512328767123,78,0,178,9,54,0,6408.44,6.7168156424581005,0.147945205479452,0.2136986301369863,1211.6,28.2701912568306,6686.89,Lúa mùa,13400.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6366000.0,85304400000.0,Sắn
Bình Dương,2017,27.5573698630137,1.7747947374494475,32.37,19.89,40.72,16.27,78.1433698630137,10.633085075753408,80.0222191780822,1202.31,44.79,5.722376878785348,0.6155890410958904,24.02512328767123,78,0,178,9,54,0,6408.44,6.7168156424581005,0.147945205479452,0.2136986301369863,1211.6,28.2701912568306,6686.89,Ngô,800.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6014000.0,4811200000.0,Sắn
Bình Dương,2017,27.5573698630137,1.7747947374494475,32.37,19.89,40.72,16.27,78.1433698630137,10.633085075753408,80.0222191780822,1202.31,44.79,5.722376878785348,0.6155890410958904,24.02512328767123,78,0,178,9,54,0,6408.44,6.7168156424581005,0.147945205479452,0.2136986301369863,1211.6,28.2701912568306,6686.89,Lúa,30600.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6366000.0,194799600000.0,Sắn
Bình Dương,2017,27.5573698630137,1.7747947374494475,32.37,19.89,40.72,16.27,78.1433698630137,10.633085075753408,80.0222191780822,1202.31,44.79,5.722376878785348,0.6155890410958904,24.02512328767123,78,0,178,9,54,0,6408.44,6.7168156424581005,0.147945205479452,0.2136986301369863,1211.6,28.2701912568306,6686.89,Lúa hè thu,6000.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6366000.0,38196000000.0,Sắn
Bình Dương,2017,27.5573698630137,1.7747947374494475,32.37,19.89,40.72,16.27,78.1433698630137,10.633085075753408,80.0222191780822,1202.31,44.79,5.722376878785348,0.6155890410958904,24.02512328767123,78,0,178,9,54,0,6408.44,6.7168156424581005,0.147945205479452,0.2136986301369863,1211.6,28.2701912568306,6686.89,Khoai lang,1400.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,8859000.0,12402600000.0,Sắn
Bình Dương,2017,27.5573698630137,1.7747947374494475,32.37,19.89,40.72,16.27,78.1433698630137,10.633085075753408,80.0222191780822,1202.31,44.79,5.722376878785348,0.6155890410958904,24.02512328767123,78,0,178,9,54,0,6408.44,6.7168156424581005,0.147945205479452,0.2136986301369863,1211.6,28.2701912568306,6686.89,Lúa đông xuân,11200.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6366000.0,71299200000.0,Sắn
Bình Dương,2017,27.5573698630137,1.7747947374494475,32.37,19.89,40.72,16.27,78.1433698630137,10.633085075753408,80.0222191780822,1202.31,44.79,5.722376878785348,0.6155890410958904,24.02512328767123,78,0,178,9,54,0,6408.44,6.7168156424581005,0.147945205479452,0.2136986301369863,1211.6,28.2701912568306,6686.89,Sắn,87100.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,4401000.0,383327100000.0,Sắn
Bình Dương,2017,27.5573698630137,1.7747947374494475,32.37,19.89,40.72,16.27,78.1433698630137,10.633085075753408,80.0222191780822,1202.31,44.79,5.722376878785348,0.6155890410958904,24.02512328767123,78,0,178,9,54,0,6408.44,6.7168156424581005,0.147945205479452,0.2136986301369863,1211.6,28.2701912568306,6686.89,Lúa thu đông,6000.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6366000.0,38196000000.0,Sắn
